Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q9HCC0|MCCB_HUMAN	Q9HCC0	MCCB_HUMAN	MCCC2	563	Homo sapiens OX=9606	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	330943.53	0	330943.53			tr|A0A804HJ24|A0A804HJ24_HUMAN, tr|A0A804HKE8|A0A804HKE8_HUMAN, tr|A0A804HLJ9|A0A804HLJ9_HUMAN
sp|Q9HCE1|MOV10_HUMAN	Q9HCE1	MOV10_HUMAN	MOV10	1003	Homo sapiens OX=9606	Helicase MOV-10 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	363661.25	0	363661.25			tr|Q5JR04|Q5JR04_HUMAN
sp|Q9HD45|TM9S3_HUMAN	Q9HD45	TM9S3_HUMAN	TM9SF3	589	Homo sapiens OX=9606	Transmembrane 9 superfamily member 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1467761.6	0	1467761.6	7C(57.0214)		tr|Q5TB53|Q5TB53_HUMAN
sp|Q9HDC9|APMAP_HUMAN	Q9HDC9	APMAP_HUMAN	APMAP	416	Homo sapiens OX=9606	Adipocyte plasma membrane-associated protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	7448567.5	0	7448567.5			tr|H0Y512|H0Y512_HUMAN
sp|Q9NNW7|TRXR2_HUMAN	Q9NNW7	TRXR2_HUMAN	TXNRD2	524	Homo sapiens OX=9606	Thioredoxin reductase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	1	1	0	1	137988.33	0	0			tr|A0A182DWF2|A0A182DWF2_HUMAN, tr|A0A182DWF3|A0A182DWF3_HUMAN, tr|D3YTF8|D3YTF8_HUMAN
sp|Q9NPD3|EXOS4_HUMAN	Q9NPD3	EXOS4_HUMAN	EXOSC4	245	Homo sapiens OX=9606	Exosome complex component RRP41 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	728550.75	0	728550.75			
sp|Q9NPF4|OSGEP_HUMAN	Q9NPF4	OSGEP_HUMAN	OSGEP	335	Homo sapiens OX=9606	Probable tRNA N6-adenosine threonylcarbamoyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	1	0	1	1270032.2	592918.75	1270032.2			
sp|Q9NPJ3|ACO13_HUMAN	Q9NPJ3	ACO13_HUMAN	ACOT13	140	Homo sapiens OX=9606	Acyl-coenzyme A thioesterase 13 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	4516655.5	4516655.5	4516655.5			
sp|Q9NQC3|RTN4_HUMAN	Q9NQC3	RTN4_HUMAN	RTN4	1192	Homo sapiens OX=9606	Reticulon-4 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	2.4062174E7	0	2.4062174E7	11C(57.0214)		tr|F8W914|F8W914_HUMAN
sp|Q9NQR4|NIT2_HUMAN	Q9NQR4	NIT2_HUMAN	NIT2	276	Homo sapiens OX=9606	Omega-amidase NIT2 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	5	1	5	8030092.5	1872721.9	8030092.5	5C(57.0214),16C(57.0214),7C(57.0214)		
sp|Q9NQT5|EXOS3_HUMAN	Q9NQT5	EXOS3_HUMAN	EXOSC3	275	Homo sapiens OX=9606	Exosome complex component RRP40 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	1191363.9	1191363.9	1191363.9	N-term(42.0106)		
sp|Q9NQW7|XPP1_HUMAN	Q9NQW7	XPP1_HUMAN	XPNPEP1	623	Homo sapiens OX=9606	Xaa-Pro aminopeptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1033294.8	0	1033294.8			
sp|Q9NR12|PDLI7_HUMAN	Q9NR12	PDLI7_HUMAN	PDLIM7	457	Homo sapiens OX=9606	PDZ and LIM domain protein 7 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	1832729.2	0	1832729.2			
sp|Q9NR28|DBLOH_HUMAN	Q9NR28	DBLOH_HUMAN	DIABLO	239	Homo sapiens OX=9606	Diablo homolog, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1031723.0	0	1031723.0			tr|A0A024RBT2|A0A024RBT2_HUMAN
sp|Q9NR30|DDX21_HUMAN	Q9NR30	DDX21_HUMAN	DDX21	783	Homo sapiens OX=9606	Nucleolar RNA helicase 2 	1:Experimental evidence at protein level	1.0000	0.9990	19	16	19	18	15	18	2.0664116E7	2.0664116E7	2.0664116E7	4C(57.0214), 6C(57.0214),5C(57.0214),5C(57.0214),9M(15.9949)		
sp|Q9NR31|SAR1A_HUMAN	Q9NR31	SAR1A_HUMAN	SAR1A	198	Homo sapiens OX=9606	GTP-binding protein SAR1a 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	5.4100888E7	0	5.4100888E7	6M(15.9949)		
sp|Q9NR45|SIAS_HUMAN	Q9NR45	SIAS_HUMAN	NANS	359	Homo sapiens OX=9606	Sialic acid synthase 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	2	2	2	6297248.0	5353272.0	6297248.0	7C(57.0214),5C(57.0214), 9C(57.0214)		
sp|Q9NR46|SHLB2_HUMAN	Q9NR46	SHLB2_HUMAN	SH3GLB2	395	Homo sapiens OX=9606	Endophilin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	3036965.5	0	3036965.5			tr|B7ZC38|B7ZC38_HUMAN, tr|B7ZC39|B7ZC39_HUMAN
sp|Q9NR50|EI2BG_HUMAN	Q9NR50	EI2BG_HUMAN	EIF2B3	452	Homo sapiens OX=9606	Translation initiation factor eIF-2B subunit gamma 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1426010.1	0	1426010.1	6C(57.0214)		tr|H0Y580|H0Y580_HUMAN
sp|Q9NRF8|PYRG2_HUMAN	Q9NRF8	PYRG2_HUMAN	CTPS2	586	Homo sapiens OX=9606	CTP synthase 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	2	4	2	2	4285817.5	921703.4	921703.4	11C(57.0214)		
sp|Q9NRG0|CHRC1_HUMAN	Q9NRG0	CHRC1_HUMAN	CHRAC1	131	Homo sapiens OX=9606	Chromatin accessibility complex protein 1 	1:Experimental evidence at protein level	1.0000	0.9923	2	0	2	1	0	1	1296795.6	0	1296795.6			tr|E5RGS9|E5RGS9_HUMAN
sp|Q9NRG9|AAAS_HUMAN	Q9NRG9	AAAS_HUMAN	AAAS	546	Homo sapiens OX=9606	Aladin 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	798647.56	0	798647.56			tr|F8VZ44|F8VZ44_HUMAN, tr|H3BU82|H3BU82_HUMAN
sp|Q9NRX2|RM17_HUMAN	Q9NRX2	RM17_HUMAN	MRPL17	175	Homo sapiens OX=9606	39S ribosomal protein L17, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9974	3	0	3	2	0	2	3114613.2	0	3114613.2			tr|E9PKV2|E9PKV2_HUMAN
sp|Q9NSD9|SYFB_HUMAN	Q9NSD9	SYFB_HUMAN	FARSB	589	Homo sapiens OX=9606	Phenylalanine--tRNA ligase beta subunit 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	9	9	9	6090413.0	6090413.0	6090413.0	6C(57.0214)		
sp|Q9NSE4|SYIM_HUMAN	Q9NSE4	SYIM_HUMAN	IARS2	1012	Homo sapiens OX=9606	Isoleucine--tRNA ligase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	938751.1	938751.1	938751.1			
sp|Q9NT62|ATG3_HUMAN	Q9NT62	ATG3_HUMAN	ATG3	314	Homo sapiens OX=9606	Ubiquitin-like-conjugating enzyme ATG3 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	344938.16	0	344938.16			
sp|Q9NTI5|PDS5B_HUMAN	Q9NTI5	PDS5B_HUMAN	PDS5B	1447	Homo sapiens OX=9606	Sister chromatid cohesion protein PDS5 homolog B 	1:Experimental evidence at protein level	1.0000	0.9988	1	1	1	1	1	1	232334.27	232334.27	232334.27			
sp|Q9NTJ3|SMC4_HUMAN	Q9NTJ3	SMC4_HUMAN	SMC4	1288	Homo sapiens OX=9606	Structural maintenance of chromosomes protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	5215484.5	0	5215484.5			tr|E9PD53|E9PD53_HUMAN
sp|Q9NTJ5|SAC1_HUMAN	Q9NTJ5	SAC1_HUMAN	SACM1L	587	Homo sapiens OX=9606	Phosphatidylinositol-3-phosphatase SAC1 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	2	0	2	1039185.0	0	1039185.0			tr|A0A5F9ZHN7|A0A5F9ZHN7_HUMAN
sp|Q9NTK5|OLA1_HUMAN	Q9NTK5	OLA1_HUMAN	OLA1	396	Homo sapiens OX=9606	Obg-like ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	5	0	5	9172506.0	0	9172506.0	4M(15.9949), 8M(15.9949),2M(15.9949),5C(57.0214),5C(57.0214),6M(15.9949)		tr|J3KQ32|J3KQ32_HUMAN
sp|Q9NTZ6|RBM12_HUMAN	Q9NTZ6	RBM12_HUMAN	RBM12	932	Homo sapiens OX=9606	RNA-binding protein 12 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	5	3	5	3467365.5	2733275.0	3467365.5	11M(15.9949),2C(57.0214)		
sp|Q9NUJ1|ABHDA_HUMAN	Q9NUJ1	ABHDA_HUMAN	ABHD10	306	Homo sapiens OX=9606	Palmitoyl-protein thioesterase ABHD10, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9974	1	1	1	1	1	1	663327.75	663327.75	663327.75			
sp|Q9NUQ8|ABCF3_HUMAN	Q9NUQ8	ABCF3_HUMAN	ABCF3	709	Homo sapiens OX=9606	ATP-binding cassette sub-family F member 3 	1:Experimental evidence at protein level	1.0000	0.9988	3	2	3	2	1	2	1526031.1	1306900.2	1526031.1			
sp|Q9NUQ9|CYRIB_HUMAN	Q9NUQ9	CYRIB_HUMAN	CYRIB	324	Homo sapiens OX=9606	CYFIP-related Rac1 interactor B 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	1	0	1	1168608.4	0	1168608.4			
sp|Q9NUU7|DD19A_HUMAN	Q9NUU7	DD19A_HUMAN	DDX19A	478	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX19A 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	3949198.0	0	3949198.0	8M(15.9949)		tr|I3L0H8|I3L0H8_HUMAN
sp|Q9NV06|DCA13_HUMAN	Q9NV06	DCA13_HUMAN	DCAF13	445	Homo sapiens OX=9606	DDB1- and CUL4-associated factor 13 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	0	0	0			tr|A0A087WT20|A0A087WT20_HUMAN
sp|Q9NV31|IMP3_HUMAN	Q9NV31	IMP3_HUMAN	IMP3	184	Homo sapiens OX=9606	U3 small nucleolar ribonucleoprotein protein IMP3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1016260.5	1016260.5	1016260.5			
sp|Q9NVD7|PARVA_HUMAN	Q9NVD7	PARVA_HUMAN	PARVA	372	Homo sapiens OX=9606	Alpha-parvin 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	1	0	1	884750.25	0	884750.25			
sp|Q9NVH1|DJC11_HUMAN	Q9NVH1	DJC11_HUMAN	DNAJC11	559	Homo sapiens OX=9606	DnaJ homolog subfamily C member 11 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	330773.88	330773.88	330773.88	10C(57.0214)		
sp|Q9NVI7|ATD3A_HUMAN	Q9NVI7	ATD3A_HUMAN	ATAD3A	634	Homo sapiens OX=9606	ATPase family AAA domain-containing protein 3A 	1:Experimental evidence at protein level	1.0000	0.9990	9	1	9	7	1	7	1.3205397E7	193945.92	1.3205397E7			
sp|Q9NVJ2|ARL8B_HUMAN	Q9NVJ2	ARL8B_HUMAN	ARL8B	186	Homo sapiens OX=9606	ADP-ribosylation factor-like protein 8B 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	3398579.0	0	3398579.0			
sp|Q9NVS9|PNPO_HUMAN	Q9NVS9	PNPO_HUMAN	PNPO	261	Homo sapiens OX=9606	Pyridoxine-5'-phosphate oxidase 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	3470467.2	0	3470467.2			tr|J3QQZ9|J3QQZ9_HUMAN
sp|Q9NW13|RBM28_HUMAN	Q9NW13	RBM28_HUMAN	RBM28	759	Homo sapiens OX=9606	RNA-binding protein 28 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	4	3	4	3464151.8	3464151.8	3464151.8	8C(57.0214),1C(57.0214)		
sp|Q9NWH9|SLTM_HUMAN	Q9NWH9	SLTM_HUMAN	SLTM	1034	Homo sapiens OX=9606	SAFB-like transcription modulator 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	2708533.5	0	2708533.5	N-term(42.0106)		tr|H7BXE3|H7BXE3_HUMAN
sp|Q9NWV4|CZIB_HUMAN	Q9NWV4	CZIB_HUMAN	CZIB	160	Homo sapiens OX=9606	CXXC motif containing zinc binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	1701371.1	1701371.1	1701371.1	7C(57.0214)		
sp|Q9NX24|NHP2_HUMAN	Q9NX24	NHP2_HUMAN	NHP2	153	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	3984792.0	0	3984792.0			
sp|Q9NX63|MIC19_HUMAN	Q9NX63	MIC19_HUMAN	CHCHD3	227	Homo sapiens OX=9606	MIC	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	2	0	2	1.3441729E7	0	1.3441729E7	7C(57.0214)		tr|C9JRZ6|C9JRZ6_HUMAN
sp|Q9NXF1|TEX10_HUMAN	Q9NXF1	TEX10_HUMAN	TEX10	929	Homo sapiens OX=9606	Testis-expressed protein 10 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	901791.0	901791.0	901791.0			
sp|Q9NXG2|THUM1_HUMAN	Q9NXG2	THUM1_HUMAN	THUMPD1	353	Homo sapiens OX=9606	THUMP domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	1	0	1	3718916.0	2744682.2	3718916.0	7C(57.0214)		
sp|Q9NXH9|TRM1_HUMAN	Q9NXH9	TRM1_HUMAN	TRMT1	659	Homo sapiens OX=9606	tRNA (guanine(26)-N(2))-dimethyltransferase 	1:Experimental evidence at protein level	1.0000	0.9972	1	0	1	1	0	1	321582.5	0	321582.5			tr|K7EQQ8|K7EQQ8_HUMAN
sp|Q9NXV6|CARF_HUMAN	Q9NXV6	CARF_HUMAN	CDKN2AIP	580	Homo sapiens OX=9606	CDKN2A-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	1129433.5	1129433.5	1129433.5			
sp|Q9NY12|GAR1_HUMAN	Q9NY12	GAR1_HUMAN	GAR1	217	Homo sapiens OX=9606	H/ACA ribonucleoprotein complex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	1.382071E7	1.382071E7	1.382071E7			
sp|Q9NY33|DPP3_HUMAN	Q9NY33	DPP3_HUMAN	DPP3	737	Homo sapiens OX=9606	Dipeptidyl peptidase 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	5231928.0	0	5231928.0			tr|G3V180|G3V180_HUMAN, tr|G3V1D3|G3V1D3_HUMAN
sp|Q9NY93|DDX56_HUMAN	Q9NY93	DDX56_HUMAN	DDX56	547	Homo sapiens OX=9606	Probable ATP-dependent RNA helicase DDX56 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	297110.44	0	297110.44			tr|H7C3E9|H7C3E9_HUMAN
sp|Q9NYF8|BCLF1_HUMAN	Q9NYF8	BCLF1_HUMAN	BCLAF1	920	Homo sapiens OX=9606	Bcl-2-associated transcription factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	2	0	2	5894282.0	0	5894282.0			tr|A0A1W2PQ43|A0A1W2PQ43_HUMAN, tr|E9PK09|E9PK09_HUMAN, tr|E9PK91|E9PK91_HUMAN, tr|E9PKI6|E9PKI6_HUMAN, tr|E9PQN2|E9PQN2_HUMAN
sp|Q9NYK5|RM39_HUMAN	Q9NYK5	RM39_HUMAN	MRPL39	338	Homo sapiens OX=9606	39S ribosomal protein L39, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	1	0	1	1115643.6	0	1115643.6			tr|C9JG87|C9JG87_HUMAN
sp|Q9NYL4|FKB11_HUMAN	Q9NYL4	FKB11_HUMAN	FKBP11	201	Homo sapiens OX=9606	Peptidyl-prolyl cis-trans isomerase FKBP11 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	3798804.5	0	3798804.5			tr|F8VU90|F8VU90_HUMAN
sp|Q9NYL9|TMOD3_HUMAN	Q9NYL9	TMOD3_HUMAN	TMOD3	352	Homo sapiens OX=9606	Tropomodulin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	3244041.0	0	3244041.0			tr|H0YNJ8|H0YNJ8_HUMAN
sp|Q9NYP7|ELOV5_HUMAN	Q9NYP7	ELOV5_HUMAN	ELOVL5	299	Homo sapiens OX=9606	Elongation of very long chain fatty acids protein 5 	1:Experimental evidence at protein level	1.0000	0.9985	1	0	1	1	0	1	896379.2	0	896379.2	5C(57.0214)		tr|A0A0A0MTI6|A0A0A0MTI6_HUMAN
sp|Q9NYU2|UGGG1_HUMAN	Q9NYU2	UGGG1_HUMAN	UGGT1	1555	Homo sapiens OX=9606	UDP-glucose:glycoprotein glucosyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	3499620.5	3499620.5	3499620.5			
sp|Q9NZ01|TECR_HUMAN	Q9NZ01	TECR_HUMAN	TECR	308	Homo sapiens OX=9606	Very-long-chain enoyl-CoA reductase 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	5	0	5	1.1264276E7	0	1.1264276E7			
sp|Q9NZ45|CISD1_HUMAN	Q9NZ45	CISD1_HUMAN	CISD1	108	Homo sapiens OX=9606	CDGSH iron-sulfur domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	7490772.0	7490772.0	7490772.0	5C(57.0214)		
sp|Q9NZB2|F120A_HUMAN	Q9NZB2	F120A_HUMAN	FAM120A	1118	Homo sapiens OX=9606	Constitutive coactivator of PPAR-gamma-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	5	0	5	3858521.0	1131316.6	3858521.0	8C(57.0214)		
sp|Q9NZI8|IF2B1_HUMAN	Q9NZI8	IF2B1_HUMAN	IGF2BP1	577	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	4	7	4	4	6183074.5	2085432.9	2085432.9			
sp|Q9NZL4|HPBP1_HUMAN	Q9NZL4	HPBP1_HUMAN	HSPBP1	359	Homo sapiens OX=9606	Hsp70-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	2	5	7	4	7	4253332.5	1977973.8	4253332.5	7C(57.0214),8M(15.9949)		
sp|Q9NZL9|MAT2B_HUMAN	Q9NZL9	MAT2B_HUMAN	MAT2B	334	Homo sapiens OX=9606	Methionine adenosyltransferase 2 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	5	1	5	5678476.5	2050093.5	5678476.5	11C(57.0214)		
sp|Q9NZM1|MYOF_HUMAN	Q9NZM1	MYOF_HUMAN	MYOF	2061	Homo sapiens OX=9606	Myoferlin 	1:Experimental evidence at protein level	1.0000	0.9990	7	3	7	6	3	6	6881415.0	2843224.8	6881415.0			
sp|Q9NZT2|OGFR_HUMAN	Q9NZT2	OGFR_HUMAN	OGFR	677	Homo sapiens OX=9606	Opioid growth factor receptor 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	528511.75	0	528511.75			
sp|Q9P003|CNIH4_HUMAN	Q9P003	CNIH4_HUMAN	CNIH4	139	Homo sapiens OX=9606	Protein cornichon homolog 4 	1:Experimental evidence at protein level	1.0000	0.9980	1	0	1	1	0	1	880525.25	0	880525.25	3M(15.9949), 9M(15.9949)		tr|A6NLH6|A6NLH6_HUMAN
sp|Q9P015|RM15_HUMAN	Q9P015	RM15_HUMAN	MRPL15	296	Homo sapiens OX=9606	39S ribosomal protein L15, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	2397874.0	0	2397874.0			tr|E5RIZ4|E5RIZ4_HUMAN
sp|Q9P035|HACD3_HUMAN	Q9P035	HACD3_HUMAN	HACD3	362	Homo sapiens OX=9606	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	6890680.5	0	6890680.5			tr|H3BPZ1|H3BPZ1_HUMAN, tr|H3BS72|H3BS72_HUMAN
sp|Q9P0L0|VAPA_HUMAN	Q9P0L0	VAPA_HUMAN	VAPA	249	Homo sapiens OX=9606	Vesicle-associated membrane protein-associated protein A 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	6	7	2	7	2.1952832E7	1.4477716E7	2.1952832E7			
sp|Q9P0V9|SEP10_HUMAN	Q9P0V9	SEP10_HUMAN	SEPTIN10	454	Homo sapiens OX=9606	Septin-10 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1204713.2	0	1204713.2			tr|B5ME97|B5ME97_HUMAN, tr|E7EW69|E7EW69_HUMAN, tr|E7EX04|E7EX04_HUMAN
sp|Q9P258|RCC2_HUMAN	Q9P258	RCC2_HUMAN	RCC2	522	Homo sapiens OX=9606	Protein RCC2 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	2.022912E7	2.022912E7	2.022912E7	8C(57.0214),15C(57.0214),15C(57.0214),7C(57.0214),7C(57.0214),4C(57.0214),4C(57.0214)		
sp|Q9P287|BCCIP_HUMAN	Q9P287	BCCIP_HUMAN	BCCIP	314	Homo sapiens OX=9606	BRCA2 and CDKN1A-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2130947.2	2130947.2	2130947.2	4C(57.0214)		
sp|Q9P289|STK26_HUMAN	Q9P289	STK26_HUMAN	STK26	416	Homo sapiens OX=9606	Serine/threonine-protein kinase 26 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1541429.1	0	1541429.1			tr|B4E0Y9|B4E0Y9_HUMAN, tr|Q8NBY1|Q8NBY1_HUMAN
sp|Q9P2E9|RRBP1_HUMAN	Q9P2E9	RRBP1_HUMAN	RRBP1	1410	Homo sapiens OX=9606	Ribosome-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	659954.2	0	659954.2			tr|A0A087WVV2|A0A087WVV2_HUMAN
sp|Q9P2J5|SYLC_HUMAN	Q9P2J5	SYLC_HUMAN	LARS1	1176	Homo sapiens OX=9606	Leucine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	13	0	13	8	0	8	1.0632698E7	0	1.0632698E7	4C(57.0214),7M(15.9949),6C(57.0214),1C(57.0214),9M(15.9949)		tr|A0A6I8PIT3|A0A6I8PIT3_HUMAN, tr|A0A6I8PIV1|A0A6I8PIV1_HUMAN
sp|Q9P2R3|ANFY1_HUMAN	Q9P2R3	ANFY1_HUMAN	ANKFY1	1169	Homo sapiens OX=9606	Rabankyrin-5 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	1	1	1	703806.56	703806.56	703806.56			
sp|Q9P2R7|SUCB1_HUMAN	Q9P2R7	SUCB1_HUMAN	SUCLA2	463	Homo sapiens OX=9606	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	1	0	1	1380020.2	0	1380020.2			tr|A0A2R8Y6Y7|A0A2R8Y6Y7_HUMAN, tr|A0A2R8YDQ9|A0A2R8YDQ9_HUMAN
sp|Q9P2X0|DPM3_HUMAN	Q9P2X0	DPM3_HUMAN	DPM3	92	Homo sapiens OX=9606	Dolichol-phosphate mannosyltransferase subunit 3 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	1662228.6	1662228.6	1662228.6			
sp|Q9UBE0|SAE1_HUMAN	Q9UBE0	SAE1_HUMAN	SAE1	346	Homo sapiens OX=9606	SUMO-activating enzyme subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	7322270.0	0	7322270.0	7M(15.9949),13M(15.9949),7C(57.0214)		
sp|Q9UBI6|GBG12_HUMAN	Q9UBI6	GBG12_HUMAN	GNG12	72	Homo sapiens OX=9606	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	1	1	1	3288959.0	3288959.0	3288959.0			
sp|Q9UBQ0|VPS29_HUMAN	Q9UBQ0	VPS29_HUMAN	VPS29	182	Homo sapiens OX=9606	Vacuolar protein sorting-associated protein 29 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	7558863.5	0	7558863.5	11C(57.0214), 6C(57.0214)		tr|F8VXU5|F8VXU5_HUMAN
sp|Q9UBQ5|EIF3K_HUMAN	Q9UBQ5	EIF3K_HUMAN	EIF3K	218	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit K 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	2	0	2	2965347.5	0	2965347.5	1C(57.0214),13C(57.0214)		tr|K7ERF1|K7ERF1_HUMAN, tr|K7ES31|K7ES31_HUMAN
sp|Q9UBQ7|GRHPR_HUMAN	Q9UBQ7	GRHPR_HUMAN	GRHPR	328	Homo sapiens OX=9606	Glyoxylate reductase/hydroxypyruvate reductase 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	4	1	4	5711378.0	2094403.1	5711378.0	10C(57.0214),5M(15.9949),3M(15.9949)		
sp|Q9UBT2|SAE2_HUMAN	Q9UBT2	SAE2_HUMAN	UBA2	640	Homo sapiens OX=9606	SUMO-activating enzyme subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	4	1	4	2.9345966E7	998697.8	2.9345966E7	11C(57.0214)		
sp|Q9UBU9|NXF1_HUMAN	Q9UBU9	NXF1_HUMAN	NXF1	619	Homo sapiens OX=9606	Nuclear RNA export factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	6864067.0	0	6864067.0	9M(15.9949)		
sp|Q9UDW1|QCR9_HUMAN	Q9UDW1	QCR9_HUMAN	UQCR10	63	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	915859.25	915859.25	915859.25			
